epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,208584,nan,nan,nan,0.86383,0.63379,0.71322,0.41809,nan,nan,nan,0.0034165,0.0034165,0.0034165
135,209844,nan,nan,nan,0.86395,0.63388,0.71329,0.41804,nan,nan,nan,0.003367,0.003367,0.003367
136,211104,nan,nan,nan,0.86419,0.63377,0.71346,0.41806,nan,nan,nan,0.0033175,0.0033175,0.0033175
137,212366,nan,nan,nan,0.86394,0.63383,0.71332,0.41807,nan,nan,nan,0.003268,0.003268,0.003268
138,213627,nan,nan,nan,0.86388,0.63383,0.71332,0.41808,nan,nan,nan,0.0032185,0.0032185,0.0032185
139,214888,nan,nan,nan,0.86434,0.63388,0.71341,0.41802,nan,nan,nan,0.003169,0.003169,0.003169
140,216148,nan,nan,nan,0.86404,0.63366,0.71334,0.41805,nan,nan,nan,0.0031195,0.0031195,0.0031195
141,217410,nan,nan,nan,0.86406,0.63368,0.71331,0.418,nan,nan,nan,0.00307,0.00307,0.00307
142,218671,nan,nan,nan,0.86425,0.63363,0.71338,0.418,nan,nan,nan,0.0030205,0.0030205,0.0030205
143,219933,nan,nan,nan,0.86432,0.63377,0.71345,0.41797,nan,nan,nan,0.002971,0.002971,0.002971
144,221196,nan,nan,nan,0.86458,0.63325,0.71334,0.41795,nan,nan,nan,0.0029215,0.0029215,0.0029215
145,222459,nan,nan,nan,0.86441,0.63384,0.71344,0.41798,nan,nan,nan,0.002872,0.002872,0.002872
146,223722,nan,nan,nan,0.86419,0.63368,0.71345,0.41806,nan,nan,nan,0.0028225,0.0028225,0.0028225
147,224984,nan,nan,nan,0.86393,0.63377,0.71339,0.41798,nan,nan,nan,0.002773,0.002773,0.002773
148,226247,nan,nan,nan,0.86392,0.63372,0.71342,0.41809,nan,nan,nan,0.0027235,0.0027235,0.0027235
149,227510,nan,nan,nan,0.86397,0.63384,0.71337,0.41804,nan,nan,nan,0.002674,0.002674,0.002674
150,228773,nan,nan,nan,0.86424,0.63337,0.71335,0.41802,nan,nan,nan,0.0026245,0.0026245,0.0026245
