epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,422002,1.02727,0.32393,0.03546,0.79541,0.77189,0.82525,0.4144,0.60651,0.47509,0.08722,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725,0.0035175,0.0011725
109,425843,0.99225,0.3259,0.03365,0.80218,0.77522,0.83552,0.42106,0.59778,0.47268,0.08911,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
110,429682,0.97003,0.3267,0.03218,0.80901,0.7843,0.8453,0.42539,0.59293,0.46957,0.09057,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075,0.0030225,0.0010075
111,431614,0.71434,0.36335,0.04504,0.8335,0.82607,0.88983,0.51027,0.51649,0.45957,0.0634,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
112,433541,0.6688,0.36784,0.04174,0.85544,0.85837,0.91893,0.56441,0.46621,0.44891,0.04803,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
113,435467,0.6433,0.36887,0.04041,0.86754,0.87139,0.93247,0.59001,0.44532,0.44048,0.04136,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
114,437394,0.60899,0.37076,0.03861,0.87393,0.87732,0.94012,0.60225,0.43834,0.43445,0.03827,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775,0.0020325,0.0006775
115,439324,0.56719,0.37143,0.03622,0.87675,0.87888,0.94306,0.60711,0.43724,0.43032,0.03702,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
116,441253,0.51907,0.37472,0.03391,0.88872,0.8826,0.94743,0.61117,0.43864,0.42424,0.03659,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125,0.0015375,0.0005125
117,443179,0.4869,0.37371,0.03241,0.90809,0.89718,0.95636,0.62938,0.42437,0.40863,0.03554,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
118,445102,0.45967,0.37106,0.03095,0.94461,0.92752,0.96983,0.65905,0.39599,0.38186,0.03398,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
119,447024,0.43026,0.36763,0.02932,0.97061,0.94915,0.97597,0.67571,0.37633,0.36239,0.03297,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
120,448944,0.40339,0.35963,0.02785,0.97894,0.95987,0.97845,0.67942,0.37057,0.35537,0.03261,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825,0.0005475,0.0001825
