case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
m4k_tk7k,balanced,4096,7373,1.0004068900040688,gated,current_after,0.2780847907066345,50.59913866699623,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m4k_tk7k,balanced,4096,7373,1.0004068900040688,gated,expanded_after,0.2587000012397766,54.390610045285726,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False
m4k_tk7k,balanced,4096,7373,1.0004068900040688,out,before,0.11733280420303345,59.96128270231797,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m4k_tk7k,balanced,4096,7373,1.0004068900040688,out,current_after,0.11733280420303345,59.96128270231797,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m4k_tk7k,balanced,4096,7373,1.0004068900040688,out,expanded_after,0.11733280420303345,59.96128270231797,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,gated,before,0.3859295964241028,48.60954537391376,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,gated,current_after,0.32152479887008667,58.3465483671561,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,gated,expanded_after,0.32152479887008667,58.3465483671561,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,out,before,0.14448639750480652,64.91912924844563,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,out,current_after,0.14448639750480652,64.91912924844563,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk10k,balanced,8192,9830,1.0010172939979654,out,expanded_after,0.14448639750480652,64.91912924844563,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,gated,before,0.3336160063743591,70.29273641651871,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,gated,current_after,0.3336160063743591,70.29273641651871,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,gated,expanded_after,0.3336160063743591,70.29273641651871,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,out,before,0.17611040472984313,66.5797743079928,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,out,current_after,0.17611040472984313,66.5797743079928,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
m8k_tk12k,balanced,8192,12288,1.0,out,expanded_after,0.1655232012271881,70.8383532536239,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False
m12k_tk18k,balanced,12288,18432,1.0,gated,before,0.5974832057952881,58.873910863795665,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
m12k_tk18k,balanced,12288,18432,1.0,gated,current_after,0.5555831909179687,63.313961933381094,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m12k_tk18k,balanced,12288,18432,1.0,gated,expanded_after,0.5555831909179687,63.313961933381094,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m12k_tk18k,balanced,12288,18432,1.0,out,before,0.25191600322723384,69.81726557656796,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m12k_tk18k,balanced,12288,18432,1.0,out,current_after,0.25191600322723384,69.81726557656796,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m12k_tk18k,balanced,12288,18432,1.0,out,expanded_after,0.24037439823150636,73.16954979275339,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False
