case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
online_target,random,24497,29446,1.0209875704679752,out,5,0.42909281253814696,65.48188893452402,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,1,1.1485880374908448,61.251156815895456,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,2,1.163875198364258,60.446640756748195,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,3,1.1697008132934572,60.14559039514252,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,4,1.1876952171325685,59.234343109559504,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,gated,5,1.1966752052307128,58.789841799763686,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,out,1,0.49517998695373533,71.03714594162948,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,out,2,0.508947205543518,69.11556369199654,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,out,3,0.5138208150863648,68.45999999959935,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,out,4,0.5151080131530762,68.28892601628635,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
m24k_tk36k,random,24576,36864,1.0355902777777777,out,5,0.5196871995925904,67.68720304864752,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,gated,1,1.1732471942901612,59.46929493225518,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,gated,2,1.1864488124847412,58.80757997436138,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,gated,3,1.1988255977630615,58.20044513219715,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
