epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,86642.4,1.00268,0.49198,0.94049,0.95411,0.76483,0.81586,0.53696,1.5728,0.57071,0.75657,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,87464.2,1.00342,0.49078,0.93606,0.9515,0.76688,0.8164,0.53721,1.57269,0.57051,0.75631,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,88285,1.00249,0.49035,0.93598,0.95236,0.76642,0.81645,0.53776,1.57127,0.56911,0.75596,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,89106.7,1.00302,0.48935,0.94001,0.9516,0.76769,0.81645,0.53797,1.56994,0.56903,0.75543,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,89928.8,0.99666,0.48716,0.93729,0.95158,0.76709,0.81655,0.53821,1.56903,0.56901,0.75551,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,90749.1,0.99825,0.48895,0.9365,0.95071,0.76769,0.81664,0.53796,1.56872,0.57069,0.75525,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,91570.2,1.00289,0.48903,0.93842,0.94898,0.76735,0.81663,0.53785,1.56932,0.57109,0.75526,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,92391.1,0.99609,0.48563,0.93512,0.94963,0.76769,0.8169,0.53786,1.56856,0.5707,0.75516,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,93211.8,0.99543,0.48509,0.93353,0.95109,0.76699,0.81684,0.53807,1.56753,0.57059,0.75479,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,94033.1,0.99288,0.48435,0.93265,0.95513,0.76591,0.817,0.53761,1.569,0.56942,0.75472,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,94854,0.99165,0.48107,0.93017,0.95568,0.76505,0.81698,0.53771,1.56946,0.56833,0.75438,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,95674.6,0.9937,0.48211,0.93283,0.95291,0.76807,0.81792,0.53831,1.56829,0.5683,0.75412,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,96495.9,0.98974,0.47951,0.93301,0.95286,0.76741,0.81778,0.53873,1.56637,0.56753,0.75393,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,97318,0.98952,0.4789,0.93073,0.95593,0.76656,0.81786,0.53938,1.56624,0.56749,0.75378,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,98139.2,0.98611,0.47889,0.93099,0.95504,0.76812,0.81833,0.53938,1.56487,0.56606,0.7532,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,98959.8,0.98128,0.47653,0.92751,0.95384,0.76855,0.81803,0.53954,1.56371,0.56465,0.75247,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,99781,0.98217,0.47575,0.93022,0.95539,0.76812,0.81807,0.5397,1.56407,0.56385,0.75286,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,100602,0.98008,0.47402,0.92859,0.95537,0.76883,0.81858,0.54005,1.56367,0.56392,0.75296,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,101423,0.97757,0.47225,0.92567,0.95341,0.76947,0.8185,0.54027,1.56345,0.56324,0.75274,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,102245,0.97913,0.47097,0.92738,0.95309,0.76906,0.81851,0.54075,1.56368,0.56253,0.75258,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,103065,0.97747,0.47032,0.92646,0.95268,0.77049,0.81937,0.54094,1.5628,0.56038,0.75253,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,103887,0.97323,0.46841,0.92693,0.95274,0.77033,0.81939,0.54123,1.56244,0.5599,0.75206,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,104709,0.96759,0.46537,0.92673,0.95295,0.77105,0.81962,0.54101,1.56275,0.5597,0.75222,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,105531,0.97105,0.46635,0.9231,0.9541,0.76871,0.81902,0.54176,1.56133,0.55882,0.75213,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,106352,0.97349,0.46825,0.92424,0.954,0.76947,0.81947,0.54094,1.562,0.55804,0.75253,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,107174,0.96877,0.46348,0.92281,0.95373,0.77022,0.81953,0.54117,1.56244,0.55725,0.75271,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,107995,0.96429,0.46298,0.92283,0.95324,0.77055,0.81924,0.54181,1.56115,0.55591,0.75294,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
